trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
152,False,"{'a': 0.01, 'e': 0.21871188695221475}",20,0,-29.17127965937637,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
153,False,"{'a': 0.01, 'e': 0.21653566731600707}",30,21,11.893091992671325,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.21438110142697794}",35,13,-31.876610236504046,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
155,False,"{'a': 0.01, 'e': 0.21224797382674304}",20,4,12.013631820307907,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.21013607120076472}",20,0,-47.348741475149794,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
157,False,"{'a': 0.01, 'e': 0.20804518235702046}",30,16,14.199395354036668,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.01, 'e': 0.20597509820488344}",30,12,23.876074171097056,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.01, 'e': 0.20392561173421342}",25,4,-60.37850997592938,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 2}",1
160,False,"{'a': 0.01, 'e': 0.20189651799465538}",25,8,25.346341967105577,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.01, 'e': 0.1998876140751445}",35,13,0.4823155457175743,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.19789869908361465}",20,0,7.222296607005227,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
163,False,"{'a': 0.01, 'e': 0.19592957412690934}",20,8,7.909641990795366,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.01, 'e': 0.19398004229089189}",25,8,8.420591722150409,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.01, 'e': 0.19204990862075408}",20,0,29.52797074617504,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
166,False,"{'a': 0.01, 'e': 0.1901389801015205}",20,4,-40.73595381151096,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
167,False,"{'a': 0.01, 'e': 0.1882470656387468}",20,0,6.203375698018827,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
168,False,"{'a': 0.01, 'e': 0.18637397603940997}",25,10,16.92926537117868,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.01, 'e': 0.18451952399298926}",20,0,-6.199953730731076,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
170,False,"{'a': 0.01, 'e': 0.18268352405273466}",30,18,20.288075941180956,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.01, 'e': 0.1808657926171221}",20,9,12.226143539280336,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.01, 'e': 0.17906614791149322}",20,10,14.238628849952944,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.01, 'e': 0.17728440996987782}",30,16,-16.848910313015207,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
174,False,"{'a': 0.01, 'e': 0.17552040061699686}",25,0,26.92241586576344,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
175,False,"{'a': 0.01, 'e': 0.17377394345044514}",20,11,16.4772608945351,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
